smiles id prediction adm pass/fail
CC(=O)NCCc1ccnc2c(CCNS(C)(=O)=O)cc(C#N)cc12 ROB-UNI-b2e39629-10 3 2 pass
CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccc(Cl)cc12 ROB-UNI-b2e39629-11 3 2 pass
CC(=O)NCCc1cn(CC(=O)N2CCOCC2)c2ccc(C#N)cc12 ROB-UNI-b2e39629-12 3 2 pass
N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12 ANT-DIA-3c79be55-1 3 2 pass
N#Cc1ccccc1NC(=O)Cc1cccnc1 ANT-DIA-3c79be55-2 3 2 pass
CCNc1ccc(C#N)c(NC(=O)Cc2c[nH]c3ncccc23)c1 ANT-DIA-3c79be55-3 3 2 pass
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1 ANT-DIA-3c79be55-4 3 2 pass
O=C(Nc1cccnc1)c1ccc(N2CCC(O)CC2)o1 ANT-DIA-3c79be55-5 3 2 pass
O=C1N(c2ccccc2)CCN1c1cccnc1 DAR-DIA-fc970077-1 3 2 pass
O=C1NC(c2cccnc2)CCN1c1ccccc1 DAR-DIA-fc970077-2 3 2 pass
O=c1n(-c2ccccc2)ccn1-c1cccnc1 DAR-DIA-fc970077-3 NA NA fail
O=C1CC(c2cccnc2)CCN1c1ccccc1 DAR-DIA-fc970077-4 3 2 pass
O=C1CN(c2cccnc2)CCN1c1ccccc1 DAR-DIA-fc970077-5 3 2 pass
O=C1N(c2ccccc2)CCCN1c1cccnc1 DAR-DIA-fc970077-6 3 2 pass
O=C1C(c2ccccc2)CCCN1c1cccnc1 DAR-DIA-fc970077-7 3 2 pass
O=C1C(c2ccccc2)OCCN1c1cccnc1 DAR-DIA-fc970077-8 3 2 pass
CC(=O)N(C(=O)Nc1ccccc1)c1cccnc1 DAR-DIA-fc970077-9 3 2 pass
O=C1N(c2ccccc2)CCCCN1c1cccnc1 DAR-DIA-fc970077-10 3 2 pass
O=C1CN(c2ccccc2)CCCN1c1cccnc1 DAR-DIA-fc970077-11 3 2 pass
O=C1C(c2ccccc2)C=CCN1c1cccnc1 DAR-DIA-fc970077-12 3 2 pass
O=C1CN(c2ccccc2)CCCN1c1cccnc1 DAR-DIA-fc970077-13 3 2 pass
O=C(Nc1ccccc1)N(c1cccnc1)c1ccccn1 DAR-DIA-fc970077-14 3 2 pass
O=C(CCl)N1CC[C@H](C(=O)N2CCCCC2)[C@@H](CCc2ccccc2)C1 PAU-WEI-c6d65c11-1 2 3 fail
CNC(=O)[C@H]1CCC[C@H]1c1ccsc1 ANT-DIA-045cfdc4-1 4 1 pass
